scene,track_id,left_frame,right_frame,interval_s,distance_m,reason
students03,249,2586,2728,5.680000000000007,0.31518807084025235,control_interval_over_guard
students03,249,2728,3346,24.72,0.2233165513346466,control_interval_over_guard
students03,249,3346,3685,13.560000000000002,0.460920838756505,control_interval_over_guard
students03,256,3144,3326,7.279999999999987,0.24512241839538046,control_interval_over_guard
students03,256,3450,3565,4.599999999999994,0.27581847998457243,control_interval_over_guard
students03,256,3565,4030,18.599999999999994,0.17758729261971426,control_interval_over_guard
students03,259,3109,3266,6.279999999999987,0.4136833131756706,control_interval_over_guard
students03,312,871,1005,5.359999999999999,0.31807874811121867,control_interval_over_guard
students03,312,1005,1119,4.559999999999995,0.30557022106219667,control_interval_over_guard
students03,320,1933,2048,4.6000000000000085,0.3193508728655677,control_interval_over_guard
students03,325,2358,2497,5.560000000000002,2.343868351678482,control_interval_over_guard
students03,329,3169,3286,4.679999999999993,0.23895934800714505,control_interval_over_guard
students03,329,3286,3586,12.0,0.4056361053949712,control_interval_over_guard
students03,330,3225,3331,4.240000000000009,0.3736777756302881,control_interval_over_guard
students03,331,3279,3390,4.439999999999998,0.40058769327077426,control_interval_over_guard
students03,331,3428,3632,8.159999999999997,0.20279418137609406,control_interval_over_guard
students03,332,3231,3551,12.799999999999983,0.3360488208579224,control_interval_over_guard
students03,340,959,1307,13.920000000000002,0.19449557835591047,control_interval_over_guard
students03,354,3059,3200,5.640000000000001,0.22506363544562238,control_interval_over_guard
students03,355,3095,3211,4.640000000000001,0.29201698580733265,control_interval_over_guard
students03,358,3558,3682,4.960000000000008,0.1743614923083649,control_interval_over_guard
students03,362,4559,4732,6.9199999999999875,0.2467571478194706,control_interval_over_guard
students03,363,4503,4718,8.599999999999994,0.30242106408119146,control_interval_over_guard
students03,376,1410,1520,4.399999999999999,0.29952624258986055,control_interval_over_guard
students03,376,1520,1816,11.840000000000003,0.16881540214091842,control_interval_over_guard
students03,376,1816,2157,13.64,0.2127940318711971,control_interval_over_guard
students03,376,2644,2884,9.599999999999994,0.1857231746444154,control_interval_over_guard
students03,410,623,868,9.799999999999997,0.2602918362146609,control_interval_over_guard
students03,432,4108,4229,4.840000000000003,0.42536017679138716,control_interval_over_guard
